,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n100_2.dat,6,101,3,78288.6,27039,2.89539,0,17911.7,27039,0.662439,19,79577.1,27992,2.84285,0,17921.3,27992,0.64023,19,80571.5,27344,2.94659,0,18028.1,27344,0.659308,18,80143.6,27116,2.95558,0,18157.7,27116,0.669632,20,86434.2,26742,3.23215,0,18032.3,26742,0.674308,18,81909.9,27578,2.97012,0,18229.7,27578,0.661024,22,75012.6,27311,2.74661,0,17945.2,27311,0.65707,21,80065.5,27329,2.92969,0,17984,27329,0.658055,23,80841.7,26999,2.99425,0,18174.5,26999,0.673156,20,84353.7,27079,3.11509,0,18099.1,27079,0.66838,21
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n100_3.dat,6,101,4,81508.2,27900,2.92144,0,18743.2,27900,0.671799,24,81495,27674,2.94482,0,18673.2,27674,0.674758,26,79883.5,26562,3.00744,0,18540.5,26562,0.69801,26,79880.6,27097,2.94795,0,18139.9,27097,0.669444,24,78375.7,27837,2.81552,0,18602.4,27837,0.668261,26,77020,27760,2.7745,0,18580,27760,0.669309,25,70947.4,27037,2.62409,0,18310.9,27037,0.677254,23,83645.2,27555,3.03557,0,18879.5,27555,0.685157,25,80975.5,27312,2.96483,0,18670.2,27312,0.683589,24,75107.1,27282,2.75299,0,18534.2,27282,0.679355,25
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n100_4.dat,6,101,5,83862.6,26947,3.11213,0,19817.1,26947,0.73541,27,80813.3,27075,2.98479,0,19258.1,27075,0.711287,27,80340.6,28163,2.8527,0,19968.8,28163,0.709044,30,82300.5,26704,3.08196,0,19216.7,26704,0.719618,27,80517.2,27341,2.94493,0,19746.9,27341,0.722246,28,81797,27064,3.02236,0,19373.5,27064,0.71584,27,81372.2,27121,3.00034,0,20258.2,27121,0.746956,29,82551.9,27038,3.05318,0,19905.9,27038,0.736219,29,80503.8,27210,2.95861,0,19363.8,27210,0.711642,28,83633.9,27325,3.06071,0,19327.1,27325,0.707304,27
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n100_5.dat,6,101,6,79108.7,26980,2.93212,0,20565.7,26980,0.762256,28,82779.3,27383,3.02302,0,20207.7,27383,0.737967,30,83467.5,26781,3.11667,0,20753,26781,0.774916,27,80001.1,27372,2.92273,0,20364.3,27372,0.743982,28,85776,27541,3.11448,0,20771.1,27541,0.754188,28,83246.9,27165,3.06449,0,20718.5,27165,0.762691,28,86236.8,27567,3.12826,0,20996.4,27567,0.761651,29,80431.6,27203,2.95672,0,20645.3,27203,0.758934,30,79469.1,27153,2.92671,0,20207.1,27153,0.744193,29,82276.3,27195,3.02542,0,20658.6,27195,0.759647,29
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n200_2.dat,6,201,3,156014,56666,2.75322,0,23025.9,56666,0.406344,44,164062,57876,2.83472,0,23806.1,57876,0.41133,44,161747,56718,2.85177,0,22847.2,56718,0.402821,43,166584,57822,2.88098,0,23156.5,57822,0.40048,45,150493,56203,2.67768,0,22859.1,56203,0.406725,43,155274,56719,2.7376,0,22959.8,56719,0.404799,46,169778,57253,2.9654,0,23346.1,57253,0.407771,43,162319,56455,2.8752,0,23072.7,56455,0.408691,42,157987,56222,2.81006,0,22747.7,56222,0.404604,43,162507,56678,2.8672,0,23101.7,56678,0.407595,43
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n200_3.dat,6,201,4,157454,57057,2.75958,0,23568.5,57057,0.41307,56,161874,57139,2.83299,0,23351.5,57139,0.408678,49,169982,56276,3.02051,0,24111.3,56276,0.428448,61,156195,56319,2.7734,0,23155.3,56319,0.411145,50,163536,56256,2.907,0,23638.9,56256,0.420203,62,161767,56944,2.8408,0,24027.7,56944,0.421953,53,165921,55847,2.97099,0,24117.9,55847,0.431856,58,163454,57099,2.86264,0,23849.5,57099,0.417687,60,166775,56609,2.94608,0,24194.6,56609,0.427398,59,166213,57139,2.90893,0,24008.2,57139,0.420172,58
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n200_4.dat,6,201,5,157441,56912,2.7664,0,24639.3,56912,0.432937,60,170928,56745,3.01221,0,25208.3,56745,0.444238,68,160940,56826,2.83215,0,25044.3,56826,0.440719,60,155393,56583,2.74628,0,24846.2,56583,0.43911,65,163098,57403,2.84128,0,24996.9,57403,0.435464,61,162936,56783,2.86945,0,24845.3,56783,0.437548,63,163530,57525,2.84276,0,24847.4,57525,0.43194,64,162493,56560,2.87293,0,25043,56560,0.442769,63,161530,56764,2.84564,0,24776.1,56764,0.436475,61,160308,56199,2.85251,0,24401.9,56199,0.434206,67
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n200_5.dat,6,201,6,165870,57064,2.90673,0,26611.3,57064,0.466342,67,166456,57475,2.89615,0,26798.8,57475,0.466268,69,159656,56451,2.82822,0,26168,56451,0.463552,66,167900,57346,2.92784,0,26510.8,57346,0.462295,68,164713,56856,2.89702,0,26034.6,56856,0.457904,65,161873,57096,2.8351,0,26517,57096,0.464429,68,169122,56850,2.97488,0,26754.2,56850,0.470611,70,168032,56880,2.95415,0,26485.7,56880,0.465643,75,163263,56030,2.91386,0,26583.1,56030,0.474444,66,164747,56977,2.89147,0,26032.8,56977,0.4569,69
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n50_2.dat,6,51,3,42155.9,13769,3.06166,0,13663.5,13769,0.992337,10,44594.2,13344,3.34189,0,13165.2,13344,0.986599,9,42241.8,13762,3.06945,0,14111.6,13762,1.02541,12,44873.1,13267,3.38231,0,13737.3,13267,1.03545,11,42236.2,13672,3.08925,0,13719.9,13672,1.00351,10,43519,13706,3.17518,0,13756.9,13706,1.00371,11,45598.8,13625,3.3467,0,13816.8,13625,1.01408,11,40224,13686,2.93906,0,13430.3,13686,0.981314,10,40449.4,13111,3.08515,0,13433.4,13111,1.02459,10,41268,13184,3.13016,0,13024.7,13184,0.987915,10
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n50_3.dat,6,51,4,44174.2,13787,3.20405,0,14361.9,13787,1.0417,13,42257.6,13703,3.08382,0,14496.9,13703,1.05793,12,47937.2,13322,3.59835,0,14809.5,13322,1.11166,13,43751.7,13801,3.17018,0,14935.9,13801,1.08223,13,41471.4,13342,3.10833,0,14776.8,13342,1.10754,12,45074.2,13493,3.34056,0,15137.4,13493,1.12187,13,46607.5,13817,3.3732,0,15057.4,13817,1.08978,14,40432,13865,2.91612,0,15344.7,13865,1.10673,13,44537.7,13675,3.25687,0,14782.5,13675,1.08099,12,42435.8,14126,3.00409,0,15466.4,14126,1.09489,13
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n50_4.dat,6,51,5,46330.3,13878,3.3384,0,17001.3,13878,1.22506,14,42940.4,13871,3.09569,0,17410.4,13871,1.25516,14,48901.7,13678,3.57521,0,17548.4,13678,1.28297,15,43427.4,13864,3.13238,0,17287.8,13864,1.24696,14,47502.2,13642,3.48206,0,17241.2,13642,1.26383,15,41227.5,13491,3.05593,0,16932.8,13491,1.25512,13,44647.1,13287,3.36021,0,16651.1,13287,1.25318,13,48566.2,13622,3.56528,0,17032.3,13622,1.25035,15,47310.8,13598,3.47925,0,17382,13598,1.27828,15,43587.9,14054,3.10146,0,17078,14054,1.21517,13
