,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,FirstImpCost,FirstImpQuantity,FirstImpLogisticRatio,TimeAtFirstImprovement,BestCostAt30s,BestQuantityAt30s,BestLogisticRatioAt30s,TimeAt30s,BestCostAt60s,BestQuantityAt60s,BestLogisticRatioAt60s,TimeAt60s,GlobalBestCost,GlobalBestQuantity,GlobalBestLogisticRatio,T_iteration,T_To_best,T_Total
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n50_2.dat,6,51,2,29305,13537,2.16481,0,29305,13537,2.16481,0,0,0,0,-nan,0,0,11076,15124,0.732346,23,29451,13034,2.25955,0,29451,13034,2.25955,0,0,0,0,-nan,0,0,10914,15100,0.722781,20,29778,13050,2.28184,0,29778,13050,2.28184,0,0,0,0,-nan,0,0,11082,15123,0.732791,19,30669,13703,2.23812,0,30669,13703,2.23812,0,0,0,0,-nan,0,0,11081,15024,0.737553,3,30650,13337,2.29812,0,30650,13337,2.29812,0,0,0,0,-nan,0,0,30650,13337,2.29812,0,28699,13537,2.12004,0,10914,15100,0.722781,30,10914,15100,0.722781,60,10914,15100,0.722781,48814,24,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n50_2.dat,6,51,2,31785,13478,2.35829,0,31785,13478,2.35829,0,0,0,0,-nan,0,0,11545,14772,0.781546,19,33177,13606,2.43841,0,33177,13606,2.43841,0,0,0,0,-nan,0,0,11561,14765,0.783,19,34820,13158,2.6463,0,34820,13158,2.6463,0,0,0,0,-nan,0,0,11556,14785,0.781603,19,33040,13105,2.52118,0,33040,13105,2.52118,0,0,0,0,-nan,0,0,11556,14785,0.781603,8,34655,13115,2.64239,0,34655,13115,2.64239,0,0,0,0,-nan,0,0,34655,13115,2.64239,0,31213,13478,2.31585,0,11545,14772,0.781546,30,11545,14772,0.781546,60,11545,14772,0.781546,50131,3,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs3n50_2.dat,6,51,2,29616,13726,2.15766,0,29616,13726,2.15766,0,0,0,0,-nan,0,0,10612,14810,0.716543,32,29322,13564,2.16175,0,29322,13564,2.16175,0,0,0,0,-nan,0,0,10165,14462,0.702877,26,32015,13447,2.38083,0,32015,13447,2.38083,0,0,0,0,-nan,0,0,10275,14672,0.700314,7,28122,13053,2.15445,0,28122,13053,2.15445,0,0,0,0,-nan,0,0,28122,13053,2.15445,0,31055,13120,2.367,0,31055,13120,2.367,0,0,0,0,-nan,0,0,31055,13120,2.367,0,28806,13726,2.09864,0,10612,14810,0.716543,30,10220,14549,0.702454,60,10275,14672,0.700314,51182,63,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs4n50_2.dat,6,51,2,31119,13584,2.29086,0,31119,13584,2.29086,0,0,0,0,-nan,0,0,10763,15057,0.714817,25,31760,13552,2.34357,0,31760,13552,2.34357,0,0,0,0,-nan,0,0,10712,15057,0.71143,26,30578,13595,2.24921,0,30578,13595,2.24921,0,0,0,0,-nan,0,0,10712,15057,0.71143,14,32100,13591,2.36186,0,32100,13591,2.36186,0,0,0,0,-nan,0,0,32100,13591,2.36186,0,30983,13552,2.28623,0,30983,13552,2.28623,0,0,0,0,-nan,0,0,30983,13552,2.28623,0,30579,13584,2.2511,0,10763,15057,0.714817,30,10712,15057,0.71143,60,10712,15057,0.71143,52218,30,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs5n50_2.dat,6,51,2,28891,13374,2.16024,0,28891,13374,2.16024,0,0,0,0,-nan,0,0,10808,14734,0.733541,30,31036,13612,2.28005,0,31036,13612,2.28005,0,0,0,0,-nan,0,0,10398,14775,0.703756,30,32331,13010,2.48509,0,32331,13010,2.48509,0,0,0,0,-nan,0,0,9784,13360,0.732335,5,28365,13045,2.1744,0,28365,13045,2.1744,0,0,0,0,-nan,0,0,28365,13045,2.1744,0,30494,13305,2.29192,0,30494,13305,2.29192,0,0,0,0,-nan,0,0,30494,13305,2.29192,0,28352,13374,2.11993,0,10808,14734,0.733541,30,10398,14775,0.703756,60,10398,14775,0.703756,53094,32,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs6n50_2.dat,6,51,2,29252,15091,1.93837,0,29252,15091,1.93837,0,0,0,0,-nan,0,0,10905,15679,0.695516,28,28934,14790,1.95632,0,28934,14790,1.95632,0,0,0,0,-nan,0,0,10784,15638,0.689602,21,30593,14899,2.05336,0,30593,14899,2.05336,0,0,0,0,-nan,0,0,10784,15638,0.689602,16,30933,14971,2.06619,0,30933,14971,2.06619,0,0,0,0,-nan,0,0,30933,14971,2.06619,0,29921,15450,1.93663,0,29921,15450,1.93663,0,0,0,0,-nan,0,0,29921,15450,1.93663,0,28689,15091,1.90107,0,10784,15638,0.689602,30,10784,15638,0.689602,60,10784,15638,0.689602,54261,29,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs7n50_2.dat,6,51,2,31103,13173,2.36112,0,31103,13173,2.36112,0,0,0,0,-nan,0,0,11478,14393,0.797471,28,29481,12789,2.30518,0,29481,12789,2.30518,0,0,0,0,-nan,0,0,11496,14459,0.795076,24,32501,12701,2.55893,0,32501,12701,2.55893,0,0,0,0,-nan,0,0,11331,14499,0.781502,13,31951,12830,2.49034,0,31951,12830,2.49034,0,0,0,0,-nan,0,0,31951,12830,2.49034,0,31368,13003,2.41237,0,31368,13003,2.41237,0,0,0,0,-nan,0,0,31368,13003,2.41237,0,30324,13173,2.30198,0,11496,14459,0.795076,30,11315,14406,0.785437,60,11331,14499,0.781502,55339,62,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs8n50_2.dat,6,51,2,33252,11230,2.961,0,33252,11230,2.961,0,0,0,0,-nan,0,0,12504,11887,1.05191,24,32983,11456,2.8791,0,32983,11456,2.8791,0,0,0,0,-nan,0,0,12024,11848,1.01485,18,33442,11355,2.94513,0,33442,11355,2.94513,0,0,0,0,-nan,0,0,12068,11875,1.01625,14,33878,11378,2.9775,0,33878,11378,2.9775,0,0,0,0,-nan,0,0,12068,11875,1.01625,9,33755,11199,3.01411,0,33755,11199,3.01411,0,0,0,0,-nan,0,0,33755,11199,3.01411,0,32324,11230,2.87836,0,12024,11848,1.01485,30,12024,11848,1.01485,60,12024,11848,1.01485,56685,26,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs9n50_2.dat,6,51,2,30980,14020,2.2097,0,30980,14020,2.2097,0,0,0,0,-nan,0,0,10094,14315,0.705134,25,31887,14257,2.23659,0,31887,14257,2.23659,0,0,0,0,-nan,0,0,10094,14315,0.705134,24,29755,13367,2.226,0,29755,13367,2.226,0,0,0,0,-nan,0,0,10094,14315,0.705134,16,31524,13962,2.25784,0,31524,13962,2.25784,0,0,0,0,-nan,0,0,31524,13962,2.25784,0,30143,13558,2.22326,0,30143,13558,2.22326,0,0,0,0,-nan,0,0,30143,13558,2.22326,0,30182,14020,2.15278,0,10094,14315,0.705134,30,10094,14315,0.705134,60,10094,14315,0.705134,57736,3,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n50_2.dat,6,51,2,30483,13933,2.18783,0,30483,13933,2.18783,0,0,0,0,-nan,0,0,9637,14023,0.687228,23,29707,13990,2.12345,0,29707,13990,2.12345,0,0,0,0,-nan,0,0,9637,14023,0.687228,20,31024,13465,2.30405,0,31024,13465,2.30405,0,0,0,0,-nan,0,0,9637,14023,0.687228,22,28804,13834,2.08212,0,28804,13834,2.08212,0,0,0,0,-nan,0,0,28804,13834,2.08212,0,31731,13566,2.33901,0,31731,13566,2.33901,0,0,0,0,-nan,0,0,31731,13566,2.33901,0,29870,13933,2.14383,0,9637,14023,0.687228,30,9637,14023,0.687228,60,9637,14023,0.687228,58975,6,65,
