,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,GlobalBestCost,GlobalBestQuantity,GlobalBestLogisticRatio,T_To_best,T_Total
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n50_2.dat,6,51,2,29305,13537,2.16481,0,14532,13537,1.0735,12,9,0,0,12836,13745,0.933867,12,29451,13034,2.25955,0,13771,13034,1.05654,13,8,0,0,10944,12553,0.871823,12,29778,13050,2.28184,0,14040,13050,1.07586,16,6,0,0,11728,13940,0.84132,17,30669,13703,2.23812,0,14859,13703,1.08436,16,5,0,0,11664,13829,0.843445,2,30650,13337,2.29812,0,14107,13337,1.05773,14,5,0,0,11821,13713,0.862029,2,11728,13940,0.84132,82,116
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n50_2.dat,6,51,2,31785,13478,2.35829,0,14776,13478,1.09631,15,9,0,0,13242,13495,0.981252,15,33177,13606,2.43841,0,15149,13606,1.11341,13,12,0,0,12332,13372,0.922226,11,34820,13158,2.6463,0,15080,13158,1.14607,10,5,0,0,12277,12973,0.94635,0,33040,13105,2.52118,0,14125,13105,1.07783,12,6,0,0,11464,12685,0.903745,13,34655,13115,2.64239,0,15058,13115,1.14815,12,5,0,0,11183,12208,0.916039,2,11464,12685,0.903745,89,103
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs3n50_2.dat,6,51,2,29616,13726,2.15766,0,14217,13726,1.03577,13,11,0,0,12260,13859,0.884624,14,29322,13564,2.16175,0,13774,13564,1.01548,15,6,0,0,11462,13532,0.847029,14,32015,13447,2.38083,0,14645,13447,1.08909,13,5,0,0,12550,14343,0.874991,0,28122,13053,2.15445,0,13489,13053,1.0334,13,5,0,0,11467,13345,0.859273,0,31055,13120,2.367,0,13852,13120,1.05579,17,5,0,0,11467,13345,0.859273,1,11462,13532,0.847029,56,100
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs4n50_2.dat,6,51,2,31119,13584,2.29086,0,14185,13584,1.04424,13,16,0,0,12431,13329,0.932628,14,31760,13552,2.34357,0,14151,13552,1.0442,13,13,0,0,12236,14127,0.866143,14,30578,13595,2.24921,0,14039,13595,1.03266,12,8,0,0,10791,12521,0.861832,12,32100,13591,2.36186,0,14383,13591,1.05827,13,5,0,0,11303,12414,0.910504,2,30983,13552,2.28623,0,14584,13552,1.07615,12,13,0,0,10179,12578,0.80927,14,10179,12578,0.80927,119,119
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs5n50_2.dat,6,51,2,28891,13374,2.16024,0,13622,13374,1.01854,13,6,0,0,13412,13854,0.968096,15,31036,13612,2.28005,0,14160,13612,1.04026,14,5,0,0,13531,14014,0.965534,17,32331,13010,2.48509,0,14082,13010,1.0824,14,6,0,0,13160,13938,0.944181,18,28365,13045,2.1744,0,13783,13045,1.05657,16,10,0,0,12852,13886,0.925537,20,30494,13305,2.29192,0,14098,13305,1.0596,16,7,0,0,12504,13892,0.900086,15,12504,13892,0.900086,158,158
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs6n50_2.dat,6,51,2,29252,15091,1.93837,0,13522,15091,0.896031,14,5,0,0,13328,15502,0.85976,15,28934,14790,1.95632,0,13577,14790,0.917985,13,5,0,0,13440,15577,0.862811,0,30593,14899,2.05336,0,13830,14899,0.92825,12,11,0,0,12501,15615,0.800576,15,30933,14971,2.06619,0,14002,14971,0.935275,13,5,0,0,13003,15599,0.833579,2,29921,15450,1.93663,0,14268,15450,0.923495,14,5,0,0,13400,16255,0.824362,0,12501,15615,0.800576,69,98
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs7n50_2.dat,6,51,2,31103,13173,2.36112,0,14579,13173,1.10673,15,5,0,0,14219,13437,1.0582,14,29481,12789,2.30518,0,13957,12789,1.09133,15,5,0,0,13868,13796,1.00522,13,32501,12701,2.55893,0,14660,12701,1.15424,15,8,0,0,13982,14145,0.988476,14,31951,12830,2.49034,0,14126,12830,1.10101,14,5,0,0,13959,14097,0.990211,1,31368,13003,2.41237,0,13249,13003,1.01892,13,4,0,0,13257,13479,0.98353,15,13257,13479,0.98353,129,129
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs8n50_2.dat,6,51,2,33252,11230,2.961,0,15401,11230,1.37142,15,13,0,0,14207,11699,1.21438,13,32983,11456,2.8791,0,14940,11456,1.30412,12,6,0,0,14635,12290,1.19081,14,33442,11355,2.94513,0,15326,11355,1.34971,14,6,0,0,14300,12290,1.16355,14,33878,11378,2.9775,0,15080,11378,1.32536,14,5,0,0,14931,11927,1.25187,1,33755,11199,3.01411,0,15081,11199,1.34664,14,7,0,0,14240,12339,1.15406,15,14240,12339,1.15406,126,126
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs9n50_2.dat,6,51,2,30980,14020,2.2097,0,13887,14020,0.990514,12,9,0,0,12098,14233,0.849996,16,31887,14257,2.23659,0,13592,14257,0.953356,14,8,0,0,11265,14142,0.796563,16,29755,13367,2.226,0,13970,13367,1.04511,15,5,0,0,11296,14101,0.801078,1,31524,13962,2.25784,0,13647,13962,0.977439,14,5,0,0,11385,13940,0.816714,1,30143,13558,2.22326,0,14169,13558,1.04507,14,5,0,0,11630,13301,0.87437,2,11265,14142,0.796563,58,105
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n50_2.dat,6,51,2,30483,13933,2.18783,0,13839,13933,0.993253,12,5,0,0,13426,14863,0.903317,14,29707,13990,2.12345,0,13455,13990,0.961758,12,4,0,0,13040,14242,0.915602,1,31024,13465,2.30405,0,13883,13465,1.03104,13,5,0,0,11830,12830,0.922058,1,28804,13834,2.08212,0,13602,13834,0.98323,12,3,0,0,13245,14395,0.920111,1,31731,13566,2.33901,0,13461,13566,0.99226,13,6,0,0,13067,14598,0.895123,13,13067,14598,0.895123,92,92
