,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,FirstImpCost,FirstImpQuantity,FirstImpLogisticRatio,TimeAtFirstImprovement,BestCostAt30s,BestQuantityAt30s,BestLogisticRatioAt30s,TimeAt30s,BestCostAt60s,BestQuantityAt60s,BestLogisticRatioAt60s,TimeAt60s,GlobalBestCost,GlobalBestQuantity,GlobalBestLogisticRatio,T_iteration,T_To_best,T_Total
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n50_2.dat,6,51,2,29305,13537,2.16481,0,29305,13537,2.16481,0,10,10,7,0.115278,0.484211,0.0217897,10922,14400,0.758472,24,29451,13034,2.25955,0,29451,13034,2.25955,0,0,0,0,-nan,0,0,10922,14400,0.758472,27,29778,13050,2.28184,0,29778,13050,2.28184,0,0,0,0,-nan,0,0,10922,14400,0.758472,14,30669,13703,2.23812,0,30669,13703,2.23812,0,0,0,0,-nan,0,0,30669,13703,2.23812,0,30650,13337,2.29812,0,30650,13337,2.29812,0,0,0,0,-nan,0,0,30650,13337,2.29812,0,28699,13537,2.12004,0,10912,14400,0.757778,30,10912,14400,0.757778,60,10912,14400,0.757778,195244,2,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n50_2.dat,6,51,2,31785,13478,2.35829,0,31785,13478,2.35829,0,11,11,6,0.136764,0.513028,0.0272072,11718,14868,0.788136,21,33177,13606,2.43841,0,33177,13606,2.43841,0,4,4,2,0.06873,0.180929,0.0939913,11538,14910,0.773843,15,34820,13158,2.6463,0,34820,13158,2.6463,0,0,0,0,-nan,0,0,11538,14910,0.773843,14,33040,13105,2.52118,0,33040,13105,2.52118,0,0,0,0,-nan,0,0,11538,14910,0.773843,15,34655,13115,2.64239,0,34655,13115,2.64239,0,0,0,0,-nan,0,0,34655,13115,2.64239,0,31213,13478,2.31585,0,11538,14910,0.773843,30,11538,14910,0.773843,60,11538,14910,0.773843,196883,21,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs3n50_2.dat,6,51,2,29616,13726,2.15766,0,29616,13726,2.15766,0,17,17,3,0.0255753,0.299871,0.0423819,10332,14038,0.736002,30,29322,13564,2.16175,0,29322,13564,2.16175,0,2,2,1,0.0427594,0.0855188,0.0855188,10233,14014,0.730198,21,32015,13447,2.38083,0,32015,13447,2.38083,0,2,2,0,0,0,0,10643,14744,0.721853,14,28122,13053,2.15445,0,28122,13053,2.15445,0,0,0,0,-nan,0,0,28122,13053,2.15445,0,31055,13120,2.367,0,31055,13120,2.367,0,0,0,0,-nan,0,0,31055,13120,2.367,0,28806,13726,2.09864,0,10332,14038,0.736002,30,10643,14744,0.721853,60,10643,14744,0.721853,197971,58,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs4n50_2.dat,6,51,2,31119,13584,2.29086,0,31119,13584,2.29086,0,14,14,6,0.0584531,0.383249,0.0348821,10376,14268,0.727222,26,31760,13552,2.34357,0,31760,13552,2.34357,0,2,2,1,0.059503,0.119006,0.119006,10348,14287,0.724295,21,30578,13595,2.24921,0,30578,13595,2.24921,0,0,0,0,-nan,0,0,10348,14287,0.724295,18,32100,13591,2.36186,0,32100,13591,2.36186,0,0,0,0,-nan,0,0,32100,13591,2.36186,0,30983,13552,2.28623,0,30983,13552,2.28623,0,0,0,0,-nan,0,0,30983,13552,2.28623,0,30579,13584,2.2511,0,10348,14287,0.724295,30,10348,14287,0.724295,60,10348,14287,0.724295,199188,28,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs5n50_2.dat,6,51,2,28891,13374,2.16024,0,28891,13374,2.16024,0,10,10,2,0.024753,0.226597,0.0209336,10285,14009,0.734171,33,31036,13612,2.28005,0,31036,13612,2.28005,0,9,9,3,0.0245039,0.134914,0.00709421,10163,14095,0.721036,33,32331,13010,2.48509,0,32331,13010,2.48509,0,0,0,0,-nan,0,0,32331,13010,2.48509,0,28365,13045,2.1744,0,28365,13045,2.1744,0,0,0,0,-nan,0,0,28365,13045,2.1744,0,30494,13305,2.29192,0,30494,13305,2.29192,0,0,0,0,-nan,0,0,30494,13305,2.29192,0,28352,13374,2.11993,0,10285,14009,0.734171,30,10163,14095,0.721036,60,10163,14095,0.721036,200090,42,66,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs6n50_2.dat,6,51,2,29252,15091,1.93837,0,29252,15091,1.93837,0,13,13,6,0.0631596,0.291015,0.00606759,11116,16446,0.675909,34,28934,14790,1.95632,0,28934,14790,1.95632,0,2,2,1,0.00906235,0.0181247,0.0181247,11067,16552,0.66862,28,30593,14899,2.05336,0,30593,14899,2.05336,0,0,0,0,-nan,0,0,11230,16552,0.678468,3,30933,14971,2.06619,0,30933,14971,2.06619,0,0,0,0,-nan,0,0,30933,14971,2.06619,0,29921,15450,1.93663,0,29921,15450,1.93663,0,0,0,0,-nan,0,0,29921,15450,1.93663,0,28689,15091,1.90107,0,11116,16494,0.673942,30,11067,16552,0.66862,61,11067,16552,0.66862,201041,35,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs7n50_2.dat,6,51,2,31103,13173,2.36112,0,31103,13173,2.36112,0,12,12,8,0.138446,0.485902,0.0538249,11593,14703,0.788479,28,29481,12789,2.30518,0,29481,12789,2.30518,0,0,0,0,-nan,0,0,11585,14672,0.789599,20,32501,12701,2.55893,0,32501,12701,2.55893,0,0,0,0,-nan,0,0,11585,14672,0.789599,17,31951,12830,2.49034,0,31951,12830,2.49034,0,0,0,0,-nan,0,0,31951,12830,2.49034,0,31368,13003,2.41237,0,31368,13003,2.41237,0,0,0,0,-nan,0,0,31368,13003,2.41237,0,30324,13173,2.30198,0,11593,14747,0.786126,30,11593,14747,0.786126,60,11593,14747,0.786126,202251,10,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs8n50_2.dat,6,51,2,33252,11230,2.961,0,33252,11230,2.961,0,8,8,2,0.026106,0.116356,0.0924918,12434,11943,1.04111,20,32983,11456,2.8791,0,32983,11456,2.8791,0,0,0,0,-nan,0,0,12434,11943,1.04111,20,33442,11355,2.94513,0,33442,11355,2.94513,0,0,0,0,-nan,0,0,12434,11943,1.04111,18,33878,11378,2.9775,0,33878,11378,2.9775,0,0,0,0,-nan,0,0,12434,11943,1.04111,7,33755,11199,3.01411,0,33755,11199,3.01411,0,0,0,0,-nan,0,0,33755,11199,3.01411,0,32324,11230,2.87836,0,12434,11943,1.04111,30,12434,11943,1.04111,60,12434,11943,1.04111,203518,1,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs9n50_2.dat,6,51,2,30980,14020,2.2097,0,30980,14020,2.2097,0,18,18,4,0.0205792,0.16038,0.0381971,10329,15708,0.657563,22,31887,14257,2.23659,0,31887,14257,2.23659,0,0,0,0,-nan,0,0,10260,15489,0.662406,16,29755,13367,2.226,0,29755,13367,2.226,0,1,1,0,0,0,0,10353,15749,0.657375,14,31524,13962,2.25784,0,31524,13962,2.25784,0,0,0,0,-nan,0,0,10387,15749,0.659534,13,30143,13558,2.22326,0,30143,13558,2.22326,0,0,0,0,-nan,0,0,30143,13558,2.22326,0,30182,14020,2.15278,0,10329,15708,0.657563,30,10353,15749,0.657375,60,10353,15749,0.657375,205155,38,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n50_2.dat,6,51,2,30483,13933,2.18783,0,30483,13933,2.18783,0,12,12,3,0.0615841,0.31303,0.198768,9964,14533,0.685612,21,29707,13990,2.12345,0,29707,13990,2.12345,0,0,0,0,-nan,0,0,10038,14533,0.690704,19,31024,13465,2.30405,0,31024,13465,2.30405,0,0,0,0,-nan,0,0,9997,14533,0.687883,12,28804,13834,2.08212,0,28804,13834,2.08212,0,0,0,0,-nan,0,0,10038,14533,0.690704,13,31731,13566,2.33901,0,31731,13566,2.33901,0,0,0,0,-nan,0,0,31731,13566,2.33901,0,29870,13933,2.14383,0,9964,14533,0.685612,30,9964,14533,0.685612,60,9964,14533,0.685612,206640,3,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n100_2.dat,6,101,2,44002,28739,1.53109,0,44002,28739,1.53109,0,23,23,7,0.0142008,0.107053,0.00337439,13296,31753,0.418732,65,47298,27885,1.69618,0,47298,27885,1.69618,0,0,0,0,-nan,0,0,47298,27885,1.69618,0,45502,28472,1.59813,0,45502,28472,1.59813,0,0,0,0,-nan,0,0,45502,28472,1.59813,0,45652,28244,1.61634,0,45652,28244,1.61634,0,0,0,0,-nan,0,0,45652,28244,1.61634,0,45470,28150,1.61528,0,45470,28150,1.61528,0,0,0,0,-nan,0,0,45470,28150,1.61528,0,43231,28739,1.50426,0,12919,29817,0.433276,30,13312,31760,0.419144,60,13296,31753,0.418732,206772,60,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n100_2.dat,6,101,2,43972,26640,1.6506,0,43972,26640,1.6506,0,16,16,5,0.0396357,0.223138,0.0207771,12969,29027,0.446791,65,47979,26361,1.82008,0,47979,26361,1.82008,0,0,0,0,-nan,0,0,47979,26361,1.82008,0,44072,26862,1.64068,0,44072,26862,1.64068,0,0,0,0,-nan,0,0,44072,26862,1.64068,0,44025,26174,1.68201,0,44025,26174,1.68201,0,0,0,0,-nan,0,0,44025,26174,1.68201,0,44219,26831,1.64806,0,44219,26831,1.64806,0,0,0,0,-nan,0,0,44219,26831,1.64806,0,43360,26640,1.62763,0,13298,29367,0.452821,30,12969,29027,0.446791,60,12969,29027,0.446791,206877,35,65,
