,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,FirstImpCost,FirstImpQuantity,FirstImpLogisticRatio,TimeAtFirstImprovement,BestCostAt30s,BestQuantityAt30s,BestLogisticRatioAt30s,TimeAt30s,BestCostAt60s,BestQuantityAt60s,BestLogisticRatioAt60s,TimeAt60s,GlobalBestCost,GlobalBestQuantity,GlobalBestLogisticRatio,T_iteration,T_To_best,T_Total
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n50_2.dat,6,51,2,29305,13537,2.16481,0,29305,13537,2.16481,0,16,16,5,0.0615956,0.403913,0.0217897,10679,14021,0.761643,25,29451,13034,2.25955,0,29451,13034,2.25955,0,1,1,0,0,0,0,10733,14135,0.759321,18,29778,13050,2.28184,0,29778,13050,2.28184,0,0,0,0,-nan,0,0,10738,14135,0.759675,18,30669,13703,2.23812,0,30669,13703,2.23812,0,0,0,0,-nan,0,0,10738,14135,0.759675,4,30650,13337,2.29812,0,30650,13337,2.29812,0,0,0,0,-nan,0,0,30650,13337,2.29812,0,28699,13537,2.12004,0,10733,14135,0.759321,30,10733,14135,0.759321,60,10733,14135,0.759321,156694,28,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n50_2.dat,6,51,2,31785,13478,2.35829,0,31785,13478,2.35829,0,9,9,6,0.058267,0.258107,0.0171748,11645,14553,0.800179,24,33177,13606,2.43841,0,33177,13606,2.43841,0,3,3,1,0.00561214,0.0168364,0.0168364,11841,15042,0.787196,19,34820,13158,2.6463,0,34820,13158,2.6463,0,0,0,0,-nan,0,0,11841,15042,0.787196,17,33040,13105,2.52118,0,33040,13105,2.52118,0,0,0,0,-nan,0,0,11841,15042,0.787196,5,34655,13115,2.64239,0,34655,13115,2.64239,0,0,0,0,-nan,0,0,34655,13115,2.64239,0,31213,13478,2.31585,0,11841,15042,0.787196,30,11841,15042,0.787196,60,11841,15042,0.787196,158102,28,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs3n50_2.dat,6,51,2,29616,13726,2.15766,0,29616,13726,2.15766,0,13,13,5,0.0709478,0.358661,0.00678933,10310,14359,0.718017,34,29322,13564,2.16175,0,29322,13564,2.16175,0,0,0,0,-nan,0,0,10433,14447,0.722157,24,32015,13447,2.38083,0,32015,13447,2.38083,0,0,0,0,-nan,0,0,10433,14447,0.722157,7,28122,13053,2.15445,0,28122,13053,2.15445,0,0,0,0,-nan,0,0,28122,13053,2.15445,0,31055,13120,2.367,0,31055,13120,2.367,0,0,0,0,-nan,0,0,31055,13120,2.367,0,28806,13726,2.09864,0,10310,14359,0.718017,30,10310,14359,0.718017,60,10310,14359,0.718017,159111,11,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs4n50_2.dat,6,51,2,31119,13584,2.29086,0,31119,13584,2.29086,0,12,12,6,0.100905,0.528475,0.00137486,10845,14560,0.744849,29,31760,13552,2.34357,0,31760,13552,2.34357,0,1,1,0,0,0,0,10886,14646,0.743275,20,30578,13595,2.24921,0,30578,13595,2.24921,0,0,0,0,-nan,0,0,10886,14646,0.743275,16,32100,13591,2.36186,0,32100,13591,2.36186,0,0,0,0,-nan,0,0,32100,13591,2.36186,0,30983,13552,2.28623,0,30983,13552,2.28623,0,0,0,0,-nan,0,0,30983,13552,2.28623,0,30579,13584,2.2511,0,10845,14560,0.744849,30,10886,14646,0.743275,60,10886,14646,0.743275,160367,32,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs5n50_2.dat,6,51,2,28891,13374,2.16024,0,28891,13374,2.16024,0,16,16,3,0.0387113,0.325433,0.0196117,10198,14159,0.720249,39,31036,13612,2.28005,0,31036,13612,2.28005,0,1,1,0,0,0,0,10593,14716,0.719829,26,32331,13010,2.48509,0,32331,13010,2.48509,0,0,0,0,-nan,0,0,32331,13010,2.48509,0,28365,13045,2.1744,0,28365,13045,2.1744,0,0,0,0,-nan,0,0,28365,13045,2.1744,0,30494,13305,2.29192,0,30494,13305,2.29192,0,0,0,0,-nan,0,0,30494,13305,2.29192,0,28352,13374,2.11993,0,10196,14159,0.720107,30,10593,14716,0.719829,60,10593,14716,0.719829,161329,43,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs6n50_2.dat,6,51,2,29252,15091,1.93837,0,29252,15091,1.93837,0,13,13,6,0.0530654,0.365076,0.00618506,11387,17106,0.665673,20,28934,14790,1.95632,0,28934,14790,1.95632,0,0,0,0,-nan,0,0,11409,17111,0.666764,19,30593,14899,2.05336,0,30593,14899,2.05336,0,0,0,0,-nan,0,0,11409,17111,0.666764,17,30933,14971,2.06619,0,30933,14971,2.06619,0,0,0,0,-nan,0,0,11409,17111,0.666764,9,29921,15450,1.93663,0,29921,15450,1.93663,0,0,0,0,-nan,0,0,29921,15450,1.93663,0,28689,15091,1.90107,0,11387,17106,0.665673,30,11387,17106,0.665673,60,11387,17106,0.665673,162678,3,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs7n50_2.dat,6,51,2,31103,13173,2.36112,0,31103,13173,2.36112,0,13,13,6,0.0839534,0.441207,0.0351587,11269,14335,0.786118,28,29481,12789,2.30518,0,29481,12789,2.30518,0,0,0,0,-nan,0,0,11269,14335,0.786118,22,32501,12701,2.55893,0,32501,12701,2.55893,0,0,0,0,-nan,0,0,11269,14335,0.786118,15,31951,12830,2.49034,0,31951,12830,2.49034,0,0,0,0,-nan,0,0,31951,12830,2.49034,0,31368,13003,2.41237,0,31368,13003,2.41237,0,0,0,0,-nan,0,0,31368,13003,2.41237,0,30324,13173,2.30198,0,11269,14335,0.786118,30,11269,14335,0.786118,60,11269,14335,0.786118,163796,7,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs8n50_2.dat,6,51,2,33252,11230,2.961,0,33252,11230,2.961,0,14,14,3,0.0245874,0.12586,0.100309,13043,12952,1.00703,28,32983,11456,2.8791,0,32983,11456,2.8791,0,3,2,0,0,0,0,12811,12965,0.988122,21,33442,11355,2.94513,0,33442,11355,2.94513,0,0,0,0,-nan,0,0,12884,12948,0.995057,14,33878,11378,2.9775,0,33878,11378,2.9775,0,0,0,0,-nan,0,0,12546,12424,1.00982,2,33755,11199,3.01411,0,33755,11199,3.01411,0,0,0,0,-nan,0,0,33755,11199,3.01411,0,32324,11230,2.87836,0,12994,12919,1.00581,30,12811,12965,0.988122,60,12811,12965,0.988122,165163,36,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs9n50_2.dat,6,51,2,30980,14020,2.2097,0,30980,14020,2.2097,0,11,11,3,0.0633928,0.382677,0.0752857,10667,15673,0.680597,22,31887,14257,2.23659,0,31887,14257,2.23659,0,0,0,0,-nan,0,0,10667,15673,0.680597,18,29755,13367,2.226,0,29755,13367,2.226,0,0,0,0,-nan,0,0,10667,15673,0.680597,19,31524,13962,2.25784,0,31524,13962,2.25784,0,0,0,0,-nan,0,0,10667,15673,0.680597,6,30143,13558,2.22326,0,30143,13558,2.22326,0,0,0,0,-nan,0,0,30143,13558,2.22326,0,30182,14020,2.15278,0,10667,15673,0.680597,30,10667,15673,0.680597,60,10667,15673,0.680597,166477,5,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n50_2.dat,6,51,2,30483,13933,2.18783,0,30483,13933,2.18783,0,15,15,8,0.0698709,0.479346,0.00692329,9902,14534,0.681299,27,29707,13990,2.12345,0,29707,13990,2.12345,0,1,1,0,0,0,0,9891,14534,0.680542,23,31024,13465,2.30405,0,31024,13465,2.30405,0,0,0,0,-nan,0,0,9891,14534,0.680542,15,28804,13834,2.08212,0,28804,13834,2.08212,0,0,0,0,-nan,0,0,28804,13834,2.08212,0,31731,13566,2.33901,0,31731,13566,2.33901,0,0,0,0,-nan,0,0,31731,13566,2.33901,0,29870,13933,2.14383,0,9891,14534,0.680542,30,9891,14534,0.680542,60,9891,14534,0.680542,167625,28,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n100_2.dat,6,101,2,44002,28739,1.53109,0,44002,28739,1.53109,0,14,14,3,0.0179069,0.160058,0.0268944,13029,29136,0.447179,65,47298,27885,1.69618,0,47298,27885,1.69618,0,0,0,0,-nan,0,0,47298,27885,1.69618,0,45502,28472,1.59813,0,45502,28472,1.59813,0,0,0,0,-nan,0,0,45502,28472,1.59813,0,45652,28244,1.61634,0,45652,28244,1.61634,0,0,0,0,-nan,0,0,45652,28244,1.61634,0,45470,28150,1.61528,0,45470,28150,1.61528,0,0,0,0,-nan,0,0,45470,28150,1.61528,0,43231,28739,1.50426,0,13344,29746,0.448598,30,13029,29136,0.447179,60,13029,29136,0.447179,167752,50,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n100_2.dat,6,101,2,43972,26640,1.6506,0,43972,26640,1.6506,0,18,18,4,0.018562,0.142857,0.00745657,12600,28628,0.440129,65,47979,26361,1.82008,0,47979,26361,1.82008,0,0,0,0,-nan,0,0,47979,26361,1.82008,0,44072,26862,1.64068,0,44072,26862,1.64068,0,0,0,0,-nan,0,0,44072,26862,1.64068,0,44025,26174,1.68201,0,44025,26174,1.68201,0,0,0,0,-nan,0,0,44025,26174,1.68201,0,44219,26831,1.64806,0,44219,26831,1.64806,0,0,0,0,-nan,0,0,44219,26831,1.64806,0,43360,26640,1.62763,0,12633,28635,0.441173,30,12582,28628,0.4395,60,12582,28628,0.4395,167881,32,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs3n100_2.dat,6,101,2,50963,28222,1.80579,0,50963,28222,1.80579,0,11,11,8,0.0648711,0.381199,0.00342103,14326,31451,0.455502,65,51123,28209,1.81229,0,51123,28209,1.81229,0,0,0,0,-nan,0,0,51123,28209,1.81229,0,50070,28163,1.77786,0,50070,28163,1.77786,0,0,0,0,-nan,0,0,50070,28163,1.77786,0,51394,27415,1.87467,0,51394,27415,1.87467,0,0,0,0,-nan,0,0,51394,27415,1.87467,0,48988,27526,1.7797,0,48988,27526,1.7797,0,0,0,0,-nan,0,0,48988,27526,1.7797,0,50334,28222,1.7835,0,14326,31451,0.455502,30,14326,31451,0.455502,60,14326,31451,0.455502,168009,29,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs4n100_2.dat,6,101,2,49164,27361,1.79686,0,49164,27361,1.79686,0,13,13,5,0.0185024,0.0654225,0.0214416,12927,29036,0.445206,65,50200,26979,1.86071,0,50200,26979,1.86071,0,0,0,0,-nan,0,0,50200,26979,1.86071,0,49031,27214,1.80168,0,49031,27214,1.80168,0,0,0,0,-nan,0,0,49031,27214,1.80168,0,49291,26616,1.85193,0,49291,26616,1.85193,0,0,0,0,-nan,0,0,49291,26616,1.85193,0,51214,26860,1.9067,0,51214,26860,1.9067,0,0,0,0,-nan,0,0,51214,26860,1.9067,0,48479,27361,1.77183,0,13425,29459,0.455718,30,12927,29036,0.445206,60,12927,29036,0.445206,168130,42,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs5n100_2.dat,6,101,2,53883,28865,1.86672,0,53883,28865,1.86672,0,17,17,8,0.0588235,0.330183,0.0209952,11896,30380,0.391573,65,54404,29086,1.87045,0,54404,29086,1.87045,0,0,0,0,-nan,0,0,54404,29086,1.87045,0,54922,29426,1.86644,0,54922,29426,1.86644,0,0,0,0,-nan,0,0,54922,29426,1.86644,0,55211,28377,1.94562,0,55211,28377,1.94562,0,0,0,0,-nan,0,0,55211,28377,1.94562,0,53166,29479,1.80352,0,53166,29479,1.80352,0,0,0,0,-nan,0,0,53166,29479,1.80352,0,53009,28865,1.83645,0,12480,31771,0.392811,30,11896,30380,0.391573,60,11896,30380,0.391573,168248,47,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs6n100_2.dat,6,101,2,48261,27565,1.75081,0,48261,27565,1.75081,0,17,17,8,0.0274718,0.188488,0.00349052,13315,28648,0.464779,65,49311,27075,1.82127,0,49311,27075,1.82127,0,0,0,0,-nan,0,0,49311,27075,1.82127,0,47781,27529,1.73566,0,47781,27529,1.73566,0,0,0,0,-nan,0,0,47781,27529,1.73566,0,48742,27538,1.76999,0,48742,27538,1.76999,0,0,0,0,-nan,0,0,48742,27538,1.76999,0,46897,27227,1.72244,0,46897,27227,1.72244,0,0,0,0,-nan,0,0,46897,27227,1.72244,0,47688,27565,1.73002,0,13700,28768,0.476224,30,13315,28649,0.464763,60,13315,28649,0.464763,168365,35,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs7n100_2.dat,6,101,2,47499,26505,1.79208,0,47499,26505,1.79208,0,14,14,6,0.0790203,0.546013,0.0132389,13003,28284,0.45973,65,48938,26976,1.81413,0,48938,26976,1.81413,0,0,0,0,-nan,0,0,48938,26976,1.81413,0,48431,26710,1.81322,0,48431,26710,1.81322,0,0,0,0,-nan,0,0,48431,26710,1.81322,0,48896,26856,1.82067,0,48896,26856,1.82067,0,0,0,0,-nan,0,0,48896,26856,1.82067,0,49175,26909,1.82746,0,49175,26909,1.82746,0,0,0,0,-nan,0,0,49175,26909,1.82746,0,47009,26505,1.77359,0,13558,28689,0.472585,30,13003,28284,0.45973,60,13003,28284,0.45973,168473,41,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs8n100_2.dat,6,101,2,44863,28250,1.58807,0,44863,28250,1.58807,0,13,13,7,0.0627425,0.239855,0.0064681,13838,30776,0.449636,65,45094,28295,1.59371,0,45094,28295,1.59371,0,0,0,0,-nan,0,0,45094,28295,1.59371,0,44319,27841,1.59186,0,44319,27841,1.59186,0,0,0,0,-nan,0,0,44319,27841,1.59186,0,44035,28037,1.5706,0,44035,28037,1.5706,0,0,0,0,-nan,0,0,44035,28037,1.5706,0,43624,26985,1.6166,0,43624,26985,1.6166,0,0,0,0,-nan,0,0,43624,26985,1.6166,0,44339,28250,1.56952,0,13838,30776,0.449636,30,13838,30776,0.449636,60,13838,30776,0.449636,168571,20,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs9n100_2.dat,6,101,2,48749,28906,1.68647,0,48749,28906,1.68647,0,12,12,8,0.0992242,0.380204,0.00692233,14440,31650,0.45624,65,49121,28341,1.73321,0,49121,28341,1.73321,0,0,0,0,-nan,0,0,49121,28341,1.73321,0,49078,28257,1.73684,0,49078,28257,1.73684,0,0,0,0,-nan,0,0,49078,28257,1.73684,0,50105,28417,1.76321,0,50105,28417,1.76321,0,0,0,0,-nan,0,0,50105,28417,1.76321,0,47880,27799,1.72236,0,47880,27799,1.72236,0,0,0,0,-nan,0,0,47880,27799,1.72236,0,48224,28906,1.6683,0,14447,31650,0.456461,30,14440,31650,0.45624,60,14440,31650,0.45624,168674,37,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n100_2.dat,6,101,2,45871,27583,1.66302,0,45871,27583,1.66302,0,7,7,5,0.103635,0.397744,0.0277114,13012,28869,0.450726,65,47910,27348,1.75186,0,47910,27348,1.75186,0,0,0,0,-nan,0,0,47910,27348,1.75186,0,45262,27713,1.63324,0,45262,27713,1.63324,0,0,0,0,-nan,0,0,45262,27713,1.63324,0,47084,27454,1.71501,0,47084,27454,1.71501,0,0,0,0,-nan,0,0,47084,27454,1.71501,0,48176,27246,1.76819,0,48176,27246,1.76819,0,0,0,0,-nan,0,0,48176,27246,1.76819,0,45380,27583,1.64522,0,13163,28869,0.455956,30,13012,28869,0.450726,60,13012,28869,0.450726,168779,36,65,
