,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,GlobalBestCost,GlobalBestQuantity,GlobalBestLogisticRatio,T_To_best,T_Total
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs1n5.dat,3,6,1,1624,262,6.19847,0,1529,262,5.83588,1,6,0,0,1323,509,2.59921,1,2310,332,6.95783,0,2149,332,6.47289,0,5,0,0,1753,450,3.89556,0,1732,321,5.39564,0,1323,321,4.1215,1,5,0,0,1323,509,2.59921,0,2417,536,4.50933,0,2017,536,3.76306,1,5,0,0,1323,509,2.59921,0,1903,427,4.45667,0,1503,427,3.51991,1,5,0,0,1323,509,2.59921,0,1323,509,2.59921,2,5,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs2n5.dat,3,6,1,1658,290,5.71724,0,1658,290,5.71724,0,5,0,0,1318,371,3.55256,1,1896,297,6.38384,0,1896,297,6.38384,0,5,0,0,1318,371,3.55256,0,1114,268,4.15672,0,1079,268,4.02612,1,5,0,0,1318,371,3.55256,0,2055,397,5.17632,0,1892,397,4.76574,1,5,0,0,1318,371,3.55256,0,1172,268,4.37313,0,1137,268,4.24254,0,5,0,0,1318,371,3.55256,0,1318,371,3.55256,1,3,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs3n5.dat,3,6,1,2052,542,3.78598,0,2052,542,3.78598,1,6,0,0,2443,746,3.2748,1,3650,642,5.68536,0,3127,642,4.87072,1,5,0,0,2443,746,3.2748,0,2978,713,4.17672,0,2746,713,3.85133,1,5,0,0,2443,746,3.2748,0,3427,785,4.36561,0,3136,785,3.9949,1,5,0,0,2443,746,3.2748,0,2746,648,4.23765,0,2746,648,4.23765,1,5,0,0,2443,746,3.2748,0,2443,746,3.2748,2,6,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs4n5.dat,3,6,1,1531,368,4.16033,0,1530,368,4.15761,0,7,0,0,1530,396,3.86364,1,2002,411,4.87105,0,1950,411,4.74453,1,6,0,0,1733,470,3.68723,1,1733,403,4.30025,0,1681,403,4.17122,1,5,0,0,1681,456,3.6864,1,2058,482,4.26971,0,2058,482,4.26971,1,5,0,0,1681,456,3.6864,0,1548,368,4.20652,0,1528,368,4.15217,1,5,0,0,1681,456,3.6864,0,1681,456,3.6864,5,7,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs5n5.dat,3,6,1,1591,409,3.88998,0,1504,409,3.67726,0,5,0,0,1524,619,2.46204,1,1539,534,2.88202,0,1468,534,2.74906,1,7,0,0,1146,621,1.84541,1,1405,525,2.67619,0,1334,525,2.54095,0,5,0,0,1146,621,1.84541,0,1559,583,2.6741,0,1520,583,2.6072,1,5,0,0,1146,621,1.84541,0,1138,381,2.98688,0,1138,381,2.98688,0,5,0,0,1146,621,1.84541,0,1146,621,1.84541,3,4,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs1n10.dat,3,11,1,3726,1475,2.5261,0,2801,1475,1.89898,1,11,0,0,2155,1745,1.23496,1,4082,1485,2.74882,0,2856,1485,1.92323,1,5,0,0,2155,1745,1.23496,0,3992,1491,2.6774,0,2920,1491,1.95842,1,5,0,0,2155,1745,1.23496,0,4087,1268,3.22319,0,3009,1268,2.37303,2,5,0,0,2155,1745,1.23496,0,3845,1610,2.3882,0,2828,1610,1.75652,1,5,0,0,2155,1745,1.23496,0,2155,1745,1.23496,2,7,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs2n10.dat,3,11,1,4303,1255,3.42869,0,3195,1255,2.54582,1,8,0,0,2346,1237,1.89652,0,4598,1050,4.37905,0,3678,1050,3.50286,2,5,0,0,2346,1237,1.89652,0,5131,1370,3.74526,0,3847,1370,2.80803,1,5,0,0,2346,1237,1.89652,0,4495,1177,3.81903,0,3860,1177,3.27952,1,5,0,0,2346,1237,1.89652,0,4669,1323,3.5291,0,3764,1323,2.84505,1,5,0,0,2346,1237,1.89652,0,2346,1237,1.89652,1,6,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs3n10.dat,3,11,1,3218,961,3.3486,0,2598,961,2.70343,1,5,0,0,2578,1172,2.19966,1,3508,877,4,0,3046,877,3.4732,1,5,0,0,2578,1172,2.19966,0,3234,971,3.33059,0,2974,971,3.06282,1,8,0,0,2176,1211,1.79686,0,3063,1004,3.0508,0,2773,1004,2.76195,2,5,0,0,2176,1211,1.79686,0,3369,880,3.82841,0,2789,880,3.16932,1,5,0,0,2176,1211,1.79686,0,2176,1211,1.79686,4,7,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs4n10.dat,3,11,1,3830,1245,3.07631,0,3326,1245,2.67149,1,7,0,0,1945,1246,1.561,0,4302,1281,3.35831,0,3616,1281,2.82279,2,5,0,0,1945,1246,1.561,0,3727,1146,3.25218,0,3285,1146,2.86649,1,5,0,0,1945,1246,1.561,0,4376,1077,4.06314,0,3438,1077,3.1922,1,5,0,0,1945,1246,1.561,0,4130,1315,3.14068,0,3412,1315,2.59468,1,5,0,0,1945,1246,1.561,0,1945,1246,1.561,1,6,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs5n10.dat,3,11,1,3882,1430,2.71469,0,2554,1430,1.78601,1,8,0,0,1946,1530,1.2719,1,3947,1304,3.02684,0,2882,1304,2.21012,1,5,0,0,1946,1530,1.2719,0,4127,1569,2.63034,0,3120,1569,1.98853,1,5,0,0,1946,1530,1.2719,0,3537,1432,2.46997,0,2589,1432,1.80796,1,5,0,0,1946,1530,1.2719,0,3561,1521,2.34122,0,2895,1521,1.90335,1,5,0,0,1946,1530,1.2719,0,1946,1530,1.2719,2,6,
